Airport,Terminal,Date,hour,date_time,Total,Flights,Booths
TPA,Main,1/14/2022,14:00,2022/01/14 14:00,27,1,5
TPA,Main,1/14/2022,17:00,2022/01/14 17:00,104,1,5
TPA,Main,1/15/2022,12:00,2022/01/15 12:00,71,1,5
TPA,Main,1/15/2022,13:00,2022/01/15 13:00,221,2,7
TPA,Main,1/15/2022,14:00,2022/01/15 14:00,117,1,7
TPA,Main,1/15/2022,15:00,2022/01/15 15:00,18,2,1
TPA,Main,1/15/2022,17:00,2022/01/15 17:00,7,1,1
TPA,Main,1/16/2022,12:00,2022/01/16 12:00,198,2,6
TPA,Main,1/16/2022,13:00,2022/01/16 13:00,218,3,7
TPA,Main,1/16/2022,17:00,2022/01/16 17:00,147,1,4
TPA,Main,1/17/2022,12:00,2022/01/17 12:00,236,2,4
TPA,Main,1/17/2022,13:00,2022/01/17 13:00,264,2,4
TPA,Main,1/17/2022,14:00,2022/01/17 14:00,55,2,3
TPA,Main,1/17/2022,17:00,2022/01/17 17:00,164,1,6
TPA,Main,1/18/2022,13:00,2022/01/18 13:00,212,2,5
TPA,Main,1/18/2022,18:00,2022/01/18 18:00,95,1,3
TPA,Main,1/19/2022,12:00,2022/01/19 12:00,136,2,5
TPA,Main,1/19/2022,13:00,2022/01/19 13:00,148,1,4
TPA,Main,1/20/2022,12:00,2022/01/20 12:00,52,1,5
TPA,Main,1/20/2022,13:00,2022/01/20 13:00,211,2,6
TPA,Main,1/20/2022,18:00,2022/01/20 18:00,132,1,4
TPA,Main,1/21/2022,12:00,2022/01/21 12:00,49,1,6
TPA,Main,1/21/2022,13:00,2022/01/21 13:00,148,1,6
TPA,Main,1/21/2022,14:00,2022/01/21 14:00,125,2,6
TPA,Main,1/22/2022,12:00,2022/01/22 12:00,67,1,4
TPA,Main,1/22/2022,13:00,2022/01/22 13:00,218,2,5
TPA,Main,1/22/2022,15:00,2022/01/22 15:00,141,1,5
TPA,Main,1/23/2022,10:00,2022/01/23 10:00,10,1,1
TPA,Main,1/23/2022,11:00,2022/01/23 11:00,6,1,1
TPA,Main,1/23/2022,12:00,2022/01/23 12:00,234,2,5
TPA,Main,1/23/2022,13:00,2022/01/23 13:00,199,2,5
TPA,Main,1/23/2022,18:00,2022/01/23 18:00,113,1,4
TPA,Main,1/24/2022,11:00,2022/01/24 11:00,82,1,3
TPA,Main,1/24/2022,12:00,2022/01/24 12:00,82,1,3
TPA,Main,1/24/2022,13:00,2022/01/24 13:00,196,2,4
TPA,Main,1/24/2022,14:00,2022/01/24 14:00,43,1,4
TPA,Main,1/24/2022,17:00,2022/01/24 17:00,125,1,4
TPA,Main,1/25/2022,12:00,2022/01/25 12:00,63,1,1
TPA,Main,1/25/2022,14:00,2022/01/25 14:00,144,1,3
TPA,Main,1/25/2022,17:00,2022/01/25 17:00,97,1,4
TPA,Main,1/26/2022,12:00,2022/01/26 12:00,44,1,4
TPA,Main,1/26/2022,13:00,2022/01/26 13:00,223,2,5
TPA,Main,1/27/2022,12:00,2022/01/27 12:00,66,2,3
TPA,Main,1/27/2022,13:00,2022/01/27 13:00,130,1,5
TPA,Main,1/27/2022,15:00,2022/01/27 15:00,182,1,6
TPA,Main,1/27/2022,17:00,2022/01/27 17:00,147,1,6
TPA,Main,1/28/2022,12:00,2022/01/28 12:00,154,2,6
TPA,Main,1/28/2022,13:00,2022/01/28 13:00,137,1,4
TPA,Main,1/28/2022,14:00,2022/01/28 14:00,18,1,3
TPA,Main,1/28/2022,15:00,2022/01/28 15:00,75,1,7
TPA,Main,1/29/2022,12:00,2022/01/29 12:00,72,1,5
TPA,Main,1/29/2022,13:00,2022/01/29 13:00,200,2,5
TPA,Main,1/29/2022,14:00,2022/01/29 14:00,134,1,5
TPA,Main,1/30/2022,12:00,2022/01/30 12:00,143,2,6
TPA,Main,1/30/2022,13:00,2022/01/30 13:00,156,1,6
TPA,Main,1/30/2022,14:00,2022/01/30 14:00,162,1,4
TPA,Main,1/30/2022,17:00,2022/01/30 17:00,100,1,5
TPA,Main,1/31/2022,11:00,2022/01/31 11:00,95,1,3
TPA,Main,1/31/2022,12:00,2022/01/31 12:00,148,1,4
TPA,Main,1/31/2022,13:00,2022/01/31 13:00,232,2,4
TPA,Main,1/31/2022,14:00,2022/01/31 14:00,32,1,4
TPA,Main,1/31/2022,16:00,2022/01/31 16:00,191,1,4
TPA,Main,2/1/2022,12:00,2022/02/01 12:00,120,1,4
TPA,Main,2/1/2022,13:00,2022/02/01 13:00,135,1,6
TPA,Main,2/1/2022,17:00,2022/02/01 17:00,120,1,5
TPA,Main,2/2/2022,12:00,2022/02/02 12:00,139,2,7
TPA,Main,2/2/2022,13:00,2022/02/02 13:00,131,1,6
TPA,Main,2/2/2022,15:00,2022/02/02 15:00,235,1,6
TPA,Main,2/3/2022,12:00,2022/02/03 12:00,18,1,5
TPA,Main,2/3/2022,13:00,2022/02/03 13:00,113,1,6
TPA,Main,2/3/2022,14:00,2022/02/03 14:00,31,1,6
TPA,Main,2/3/2022,17:00,2022/02/03 17:00,143,1,5
TPA,Main,2/4/2022,11:00,2022/02/04 11:00,74,1,6
TPA,Main,2/4/2022,12:00,2022/02/04 12:00,57,1,4
TPA,Main,2/4/2022,13:00,2022/02/04 13:00,261,3,6
TPA,Main,2/5/2022,12:00,2022/02/05 12:00,62,1,3
TPA,Main,2/5/2022,13:00,2022/02/05 13:00,148,2,3
TPA,Main,2/5/2022,14:00,2022/02/05 14:00,84,1,3
TPA,Main,2/6/2022,12:00,2022/02/06 12:00,288,3,6
TPA,Main,2/6/2022,13:00,2022/02/06 13:00,163,2,6
TPA,Main,2/6/2022,17:00,2022/02/06 17:00,351,2,5
TPA,Main,2/7/2022,10:00,2022/02/07 10:00,68,1,4
TPA,Main,2/7/2022,12:00,2022/02/07 12:00,93,1,4
TPA,Main,2/7/2022,13:00,2022/02/07 13:00,119,1,3
TPA,Main,2/7/2022,14:00,2022/02/07 14:00,60,1,3
TPA,Main,2/8/2022,12:00,2022/02/08 12:00,71,1,4
TPA,Main,2/8/2022,13:00,2022/02/08 13:00,105,1,4
TPA,Main,2/8/2022,18:00,2022/02/08 18:00,112,1,4
TPA,Main,2/9/2022,12:00,2022/02/09 12:00,75,1,5
TPA,Main,2/9/2022,13:00,2022/02/09 13:00,147,2,3
TPA,Main,2/9/2022,16:00,2022/02/09 16:00,276,1,5
TPA,Main,2/10/2022,12:00,2022/02/10 12:00,52,1,5
